date,time,elapsed_time,B3F13,B3F14,B3F15,B3F16,B3F17,B3F18,B4F19,B4F20,B4F21,B4F22,B4F23,B4F24,B5F25,B5F26,B5F27,B5F28,B5F29,B5F30,control_D1,control_D2,control_D3,control_D4,control_D5,control_D6
2023-12-05,12:25:00,92.07,90.6,88.9,89.52,91.84,90.44,88.9,90.29,88.6,89.98,91.06,89.98,89.52,91.99,89.06,90.6,90.44,89.98,91.53,91.99,90.6,92.15,92.61,91.37,93.39
2023-12-05,12:26:00,93.07,91.68,89.83,90.44,92.77,91.84,89.83,91.22,89.67,90.75,92.15,90.6,89.98,93.39,90.14,91.06,91.22,90.44,92.3,93.55,91.68,92.77,94.02,92.46,94.33
2023-12-05,12:27:00,94.07,91.84,89.67,90.44,92.93,91.99,89.83,91.53,89.36,90.75,92.3,90.6,89.83,93.39,90.29,91.37,91.53,89.98,92.61,94.17,92.46,93.08,94.48,92.61,94.48
2023-12-05,12:28:00,95.07,91.37,89.67,90.29,92.93,91.68,89.83,91.37,89.21,90.6,92.46,90.14,89.67,93.39,90.14,91.37,92.15,89.98,92.77,94.64,92.46,93.24,94.8,92.93,94.48
2023-12-05,12:29:01,96.08,91.37,89.67,90.44,93.08,92.15,89.98,91.68,89.21,90.75,92.46,89.83,89.83,93.39,90.29,91.37,92.15,90.14,92.77,95.11,92.77,93.39,95.27,93.7,95.42
2023-12-05,12:30:01,97.08,91.06,88.9,90.14,92.93,91.53,89.83,91.37,88.9,90.6,92.3,89.83,89.52,93.55,89.98,91.22,91.99,89.67,92.93,94.48,92.77,93.24,94.95,93.86,95.27
2023-12-05,12:31:01,98.08,90.91,89.06,90.29,92.93,91.99,89.67,91.37,88.6,90.14,92.46,89.36,89.21,93.24,89.98,90.91,92.15,89.52,93.24,95.27,92.77,93.39,94.95,93.86,95.42
2023-12-05,12:32:01,99.08,90.75,89.06,90.14,92.93,91.99,89.21,91.37,88.75,90.44,92.3,89.52,89.06,93.08,89.98,90.75,91.99,89.67,93.55,95.27,93.24,93.55,95.74,93.86,95.58
2023-12-05,12:33:01,100.08,90.44,88.6,89.83,92.46,91.53,89.06,90.91,88.6,89.98,91.99,89.21,88.9,92.61,89.52,90.6,91.84,89.67,93.55,95.11,93.08,93.7,95.58,94.17,95.89
2023-12-05,12:34:01,101.08,90.44,88.6,89.98,92.46,91.37,89.06,90.91,87.98,89.98,91.84,89.06,88.44,92.77,89.67,90.6,91.84,89.36,93.08,95.27,92.93,93.7,95.89,94.02,95.74
2023-12-05,12:35:01,102.08,89.83,88.44,89.83,91.99,91.06,88.44,90.6,87.98,89.52,91.68,88.9,88.6,92.46,89.52,90.6,91.84,89.06,93.24,95.42,93.39,93.7,95.89,94.33,95.42
2023-12-05,12:36:01,103.08,89.98,88.13,89.52,91.68,91.22,88.29,90.14,87.37,89.36,91.37,88.44,87.98,91.99,89.06,89.98,91.22,88.75,92.93,95.42,93.39,93.7,95.89,94.02,95.74
2023-12-05,12:37:02,104.1,89.67,87.98,89.52,91.99,90.91,87.98,90.6,87.37,89.36,91.37,88.13,87.98,92.15,88.9,90.14,91.06,88.75,93.08,95.58,93.08,93.86,95.89,94.33,95.74
2023-12-05,12:38:02,105.1,89.52,87.37,88.9,91.53,90.91,87.98,89.98,87.37,89.06,91.22,88.44,87.83,91.68,88.75,90.14,91.06,88.29,92.93,95.42,93.24,93.7,96.21,94.17,95.89
2023-12-05,12:39:02,106.1,89.21,87.37,88.6,91.22,90.75,87.83,89.52,87.22,88.75,91.22,87.52,87.52,91.22,88.6,89.52,90.91,88.29,92.93,95.42,93.24,93.86,95.89,94.33,96.21
2023-12-05,12:40:02,107.1,89.21,87.37,88.9,91.37,90.44,87.83,89.52,86.91,88.44,90.91,87.22,87.22,91.53,88.29,89.36,90.91,88.13,92.93,95.42,93.24,93.7,96.21,94.33,95.74
2023-12-05,12:41:02,108.1,88.9,86.91,88.29,91.06,90.14,87.37,89.21,86.45,88.44,90.6,87.52,86.91,91.22,88.29,88.9,90.6,87.67,92.77,95.58,93.7,93.86,96.21,94.64,96.37
2023-12-05,12:42:02,109.1,88.6,86.45,88.44,90.91,90.14,87.06,89.06,86.3,87.83,90.44,87.06,86.6,91.37,88.13,89.06,90.6,87.67,92.77,95.58,92.93,93.86,96.05,94.33,95.89
2023-12-05,12:43:02,110.1,88.29,86.6,87.98,90.91,89.83,87.06,88.9,86.15,87.98,90.14,86.76,86.3,90.91,87.83,88.6,90.29,87.22,92.46,95.74,93.08,93.7,96.05,94.48,95.89
2023-12-05,12:44:03,111.12,88.29,86.45,87.98,90.75,89.83,87.06,88.75,85.99,87.98,90.29,86.6,86.6,90.75,87.98,88.44,89.83,87.37,92.46,96.05,93.55,94.17,96.21,94.48,96.05
