date,time,elapsed_time,B1F1,B1F2,B1F3,B1F4,B1F5,B1F6,B2F7,B2F8,B2F9,B2F10,B2F11,B2F12,control_D1,control_D2,control_A3,control_B3,control_C3,control_D3,control_D4,control_D5,control_A6,control_B6,control_C6,control_D6
2023-12-05,17:09:00,0.03,112.22,112.91,110.15,109.47,112.04,110.32,110.15,109.64,110.15,111.53,108.95,107.93,111.7,111.18,112.91,111.35,111.35,109.64,111.87,110.32,112.91,114.12,113.25,112.39
2023-12-05,17:10:00,1.03,112.56,113.25,110.67,109.64,112.39,110.67,110.15,110.15,111.18,112.73,110.15,108.95,112.73,112.04,113.43,112.56,112.22,110.67,112.91,111.35,114.81,115.16,114.12,113.43
2023-12-05,17:11:00,2.03,111.18,112.91,109.98,109.3,112.73,111.01,110.15,111.01,112.04,111.53,110.84,108.78,111.18,111.7,113.77,113.25,113.25,110.15,112.56,110.15,112.73,114.81,114.12,111.01
2023-12-05,17:12:01,3.05,108.1,110.67,107.93,107.76,112.73,110.5,108.78,111.01,112.56,109.98,110.84,109.12,108.78,110.15,112.22,113.6,113.25,108.78,110.84,108.78,110.32,113.25,112.56,108.44
2023-12-05,17:13:01,4.05,105.72,109.47,106.57,106.74,112.39,110.15,107.08,110.84,112.39,108.44,110.32,108.61,107.08,108.44,111.01,113.77,113.43,107.59,110.15,107.42,108.44,112.04,111.18,106.74
2023-12-05,17:14:01,5.05,104.87,108.78,106.06,106.4,111.7,109.47,106.57,110.5,112.22,107.59,110.15,108.27,106.74,107.93,110.5,114.12,113.25,107.08,108.78,106.23,108.1,111.53,110.5,106.23
2023-12-05,17:15:01,6.05,103.69,107.76,105.04,105.55,111.01,108.78,105.72,110.32,111.7,106.57,109.47,107.59,105.55,106.91,109.47,113.77,113.25,106.4,108.78,105.55,106.57,110.84,109.47,105.21
2023-12-05,17:16:01,7.05,103.19,107.08,104.53,105.04,110.15,108.44,105.21,109.64,111.35,106.06,108.78,106.91,105.04,106.74,109.47,113.6,113.25,106.23,108.44,105.21,106.4,110.84,108.78,104.37
2023-12-05,17:17:01,8.05,102.68,106.23,104.2,104.53,109.47,107.59,105.04,109.64,111.01,105.21,108.1,106.23,104.2,106.23,108.61,113.08,112.56,105.38,107.93,105.04,106.23,110.15,108.78,103.86
2023-12-05,17:18:01,9.05,102.01,105.72,103.52,103.52,108.95,107.25,104.7,108.95,110.32,104.87,107.42,105.89,104.53,106.06,108.44,113.08,112.22,105.72,107.93,104.7,105.89,109.64,108.27,104.03
2023-12-05,17:19:02,10.07,101.84,105.38,103.02,103.52,108.44,106.4,103.86,108.44,109.98,104.37,106.57,105.21,104.03,105.55,108.27,112.73,112.04,105.38,107.42,104.53,105.21,109.12,108.1,103.86
2023-12-05,17:20:02,11.07,101.17,104.7,102.51,103.19,107.76,106.06,103.52,108.27,109.64,104.03,106.23,104.7,103.69,105.21,107.76,112.04,111.53,104.7,107.25,103.69,105.04,108.95,107.42,103.19
2023-12-05,17:21:02,12.07,101,104.53,102.51,102.34,107.08,104.87,103.35,107.25,108.61,103.69,105.72,104.2,103.86,104.87,107.42,111.87,111.53,104.7,106.91,103.69,105.04,108.61,107.25,103.02
2023-12-05,17:22:02,13.07,100.67,104.03,101.84,102.51,106.4,104.37,102.51,106.91,108.44,103.35,105.21,103.69,103.52,104.7,107.59,111.53,110.67,104.37,106.57,103.19,104.7,108.27,106.91,102.51
2023-12-05,17:23:02,14.07,100.33,103.52,101.34,101.34,105.55,103.69,102.34,106.23,107.42,102.34,104.37,103.02,103.35,104.03,106.91,111.35,110.32,104.03,105.89,103.02,104.53,107.76,106.06,102.68
2023-12-05,17:24:02,15.07,100,103.19,101.17,101,105.21,103.19,101.67,106.23,107.59,102.01,103.86,102.68,103.19,104.03,106.74,110.84,110.32,103.52,106.4,102.68,104.53,107.42,105.89,102.68
2023-12-05,17:25:02,16.07,99.67,102.68,100.67,101,104.2,102.68,101.67,105.21,106.57,101.51,103.52,102.18,102.85,103.86,106.57,110.5,109.64,103.69,105.89,102.34,104.03,107.25,106.06,102.34
2023-12-05,17:26:03,17.08,99.5,102.34,100.5,100.5,103.86,102.34,101.17,104.87,106.23,101.51,103.02,101.34,102.85,103.69,106.23,109.98,109.47,103.35,105.55,102.18,104.03,106.74,105.89,102.01
