date,time,elapsedtime_min,A1,B1,C1,A2,B2,C2,A4,B4,C4,A5,B5,C5,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,control12
12/5/2023,10:52,0,92.46,93.23,91.68,92.15,91.99,91.37,91.68,91.84,90.91,91.68,92.3,89.98,92.3,92.46,94.17,92.77,92.61,91.68,92.15,91.52,92.61,94.17,93.55,92.3
12/5/2023,10:53,1,92.61,93.39,91.52,91.99,91.68,91.21,91.99,91.99,91.06,91.68,92.46,89.82,92.61,92.46,94.17,93.08,92.92,91.68,92.46,91.68,93.55,94.8,93.7,92.77
12/5/2023,10:54,2,92.46,93.39,91.52,92.15,91.68,90.75,92.15,92.3,90.91,91.99,92.46,89.67,92.92,92.77,94.48,93.55,93.39,92.46,92.46,91.84,93.55,94.8,94.01,92.77
12/5/2023,10:55,3,92.15,93.08,91.21,91.84,91.37,90.75,91.84,91.99,90.13,91.52,92.3,89.36,93.08,93.08,94.64,93.39,93.39,92.15,92.77,91.52,94.01,94.95,94.01,92.92
12/5/2023,10:56,4,91.99,92.92,90.75,91.99,91.06,90.44,91.68,91.99,90.13,91.21,92.46,88.59,92.92,93.23,94.48,93.86,93.55,92.3,92.92,91.99,93.86,95.27,93.86,93.08
12/5/2023,10:57,5,91.37,92.61,90.6,91.68,90.75,90.29,91.37,92.15,90.44,91.06,92.15,88.28,92.77,92.92,94.48,93.7,93.55,92.3,93.23,91.99,93.86,94.95,93.86,92.77
12/5/2023,10:58,6,90.91,92.46,90.44,91.37,90.6,89.82,91.68,91.68,89.98,90.91,92.15,87.82,92.77,93.08,94.64,93.86,93.39,92.15,92.77,91.99,94.17,95.27,93.7,92.61
12/5/2023,10:59,7,90.75,92.46,90.29,91.37,90.13,89.36,91.21,91.52,89.82,90.75,91.99,88.28,93.23,93.39,94.95,94.17,93.86,92.77,92.92,91.99,94.17,95.11,93.86,92.61
12/5/2023,11:00,8,90.44,92.15,89.82,91.21,90.29,89.52,91.06,91.84,89.36,90.44,91.99,87.36,93.23,93.23,94.8,93.7,93.55,92.61,93.23,91.99,94.33,95.11,94.33,92.61
12/5/2023,11:01,9,90.29,91.99,89.52,90.75,89.82,89.36,90.91,91.37,88.59,89.98,91.84,87.21,93.23,93.08,94.64,93.86,94.01,92.46,93.08,91.99,94.01,95.27,93.86,92.77
12/5/2023,11:02,10,89.82,91.68,89.21,90.91,89.52,88.59,90.91,91.37,89.05,89.98,92.15,87.06,92.92,92.92,94.8,93.7,93.7,92.61,93.23,91.99,94.33,95.11,94.01,92.46
12/5/2023,11:03,11,89.52,91.68,88.9,90.6,89.05,88.28,90.44,91.21,88.75,89.52,91.52,86.75,93.08,93.39,94.8,94.17,93.86,92.46,92.92,91.84,94.17,95.42,94.01,92.77
12/5/2023,11:04,12,89.21,91.21,88.75,90.44,88.59,88.44,90.6,91.06,88.28,89.36,91.52,86.6,93.08,92.92,94.8,94.01,93.86,92.3,92.46,91.84,94.01,94.95,93.7,92.46
12/5/2023,11:05,13,89.05,91.37,88.44,90.44,88.75,87.82,90.44,90.75,87.67,89.21,91.21,85.99,92.92,93.23,94.48,94.17,93.86,92.61,92.92,91.52,93.86,95.27,93.55,92.46
12/5/2023,11:06,14,88.75,90.75,87.98,89.67,88.59,87.82,90.13,90.44,87.98,89.21,91.52,85.99,92.92,93.23,94.8,94.01,93.7,92.77,92.77,91.99,94.17,95.42,93.55,92.77
12/5/2023,11:07,15,88.28,90.6,87.82,89.98,87.82,87.82,90.13,90.6,87.52,88.44,91.21,85.38,92.77,93.23,94.48,94.01,94.01,92.46,92.92,91.68,94.01,94.95,93.86,92.46
12/5/2023,11:08,16,88.13,90.75,87.82,89.67,87.98,87.67,90.13,90.29,87.36,88.75,91.21,85.53,93.08,93.23,95.11,94.33,94.17,92.3,93.08,91.68,94.01,95.27,93.7,92.3
12/5/2023,11:09,17,87.82,90.29,87.52,89.52,87.67,87.06,89.67,90.13,87.06,88.44,91.21,84.92,93.08,93.23,94.64,94.01,94.17,92.46,92.77,91.84,93.7,94.95,93.86,92.3
12/5/2023,11:10,18,87.52,90.13,87.36,89.36,87.36,86.75,89.82,89.82,86.75,88.13,90.91,84.77,93.08,93.23,94.48,94.64,93.86,92.3,92.92,91.37,93.86,95.11,93.7,92.3
12/5/2023,11:11,19,87.36,89.82,87.21,89.36,87.06,86.29,89.67,89.98,86.75,88.13,90.75,84.77,93.08,92.92,94.8,93.86,94.01,92.46,93.23,91.99,93.55,94.95,93.86,92.3
12/5/2023,11:12,20,87.21,89.67,86.75,89.36,86.9,85.99,89.52,89.67,86.6,87.82,90.6,84.01,93.23,93.23,94.8,94.01,94.01,92.3,93.39,91.84,93.7,95.42,93.86,92.61
12/5/2023,11:13,21,86.75,89.82,86.75,89.36,86.75,85.99,89.05,89.36,86.29,87.52,90.6,83.86,92.92,93.08,94.95,94.17,94.17,92.46,93.23,91.99,93.86,95.11,93.7,92.61
12/5/2023,11:14,22,86.45,89.36,86.6,89.21,86.45,85.84,89.36,89.36,86.14,87.52,90.44,83.4,93.08,92.92,94.64,94.01,94.01,92.61,92.77,91.68,93.86,94.95,93.7,91.99
12/5/2023,11:15,23,86.29,89.21,86.14,89.05,86.29,85.84,88.75,89.05,85.23,87.06,90.13,83.25,92.92,93.23,94.64,94.33,94.01,92.15,92.92,91.68,93.86,95.11,93.86,92.77
12/5/2023,11:16,24,85.99,88.75,85.53,88.9,85.99,84.92,88.9,88.9,85.38,86.6,90.13,82.8,93.08,92.77,94.48,93.7,93.39,92.15,92.3,91.37,93.7,94.64,93.08,92.15
